Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y,category
768.591,362.493,815.603,291.79,627.338,221.268,606.704,539.009,615.555,789.143,1001.12,359.546,977.455,647.997,792.1,806.719,786.185,733.231,677.359,700.873,0,0,0,0,880.407,803.884,0,0,0,0,742,318.47,812.628,338.867,0,0,906.821,277.121,0,0,0,0,0,0,0,0,0,0,0,0,writing
706.739,247.767,730.274,309.503,580.196,294.795,574.219,562.578,586.071,748.016,880.38,318.366,906.755,609.665,768.55,742.024,736.126,765.637,633.187,756.767,0,0,0,0,836.176,774.436,0,0,0,0,668.616,200.638,742.226,203.572,624.44,177.123,809.72,177.072,0,0,0,0,0,0,0,0,0,0,0,0,writing
768.581,362.392,815.649,280.033,624.364,206.53,600.897,527.218,615.561,792.109,1001.11,344.863,974.572,647.987,792.161,803.846,768.58,727.358,671.461,694.99,0,0,0,0,865.693,789.143,0,0,0,0,742.091,318.461,812.782,338.893,0,0,906.879,277.091,0,0,0,0,0,0,0,0,0,0,0,0,writing
1113.04,241.892,924.598,350.733,733.342,341.93,533.204,698.092,783.441,824.621,1112.97,350.748,1183.64,580.379,1330.97,642.14,907.011,974.733,801.07,983.549,0,0,0,0,1045.36,948.226,0,0,0,0,1068.78,180.028,1142.65,197.725,933.611,144.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
1095.39,368.448,883.55,409.566,703.917,383.147,645.007,765.714,1045.27,821.709,1092.47,438.996,1133.65,648.048,1239.7,677.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.85,312.528,1139.51,321.289,930.45,241.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
718.551,335.858,656.717,388.831,533.127,418.426,544.938,715.574,712.552,824.472,783.283,344.894,812.696,568.408,806.724,715.477,689.105,786.141,603.772,800.902,0,0,0,0,765.725,765.65,0,0,0,0,688.992,294.843,742.168,288.913,603.815,271.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
700.881,244.863,721.431,300.684,574.438,291.816,562.582,565.468,591.959,742.119,877.358,315.365,903.845,603.839,765.64,739.028,724.397,765.58,624.358,753.862,0,0,0,0,830.29,774.439,0,0,0,0,668.385,200.472,742.091,200.758,624.262,177.105,806.726,176.997,0,0,0,0,0,0,0,0,0,0,0,0,writing
703.829,250.637,724.47,309.492,577.281,294.743,571.335,568.402,591.921,745.04,880.355,318.319,903.966,609.665,768.55,739.228,736.128,765.63,630.303,753.848,0,0,0,0,833.364,774.461,0,0,0,0,668.427,200.648,742.221,206.439,624.354,174.201,806.836,177.177,0,0,0,0,0,0,0,0,0,0,0,0,writing
765.628,362.424,812.798,285.932,624.299,215.35,603.807,527.2,618.51,800.887,1001.13,359.55,974.612,647.985,795.02,803.897,759.758,700.856,671.409,668.494,0,0,0,0,856.827,721.482,0,0,0,0,739.205,318.38,812.603,338.976,0,0,909.817,274.173,0,0,0,0,0,0,0,0,0,0,0,0,writing
1095.54,365.359,886.457,406.587,706.903,377.211,644.99,759.852,1042.4,818.75,1092.49,436.076,1130.68,647.992,1239.59,677.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.97,309.498,1139.56,318.38,930.492,238.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
724.378,333.016,662.596,385.98,536.069,415.434,550.712,715.656,715.592,818.566,786.188,344.857,812.826,568.389,809.648,715.504,692.078,786.223,603.816,806.799,0,0,0,0,774.431,768.545,0,0,0,0,691.931,294.7,750.869,285.872,612.623,271.22,786.063,265.304,0,0,0,0,0,0,0,0,0,0,0,0,writing
1522.16,494.959,1504.51,524.389,0,0,0,0,0,0,0,0,0,0,0,0,1495.57,606.779,1492.81,606.849,1486.84,668.619,1475.04,718.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475.14,721.633,1472.16,727.493,0,0,writing
765.569,362.445,677.365,456.48,621.375,480.249,668.471,739.069,847.982,762.566,741.957,427.133,762.708,589.048,809.594,671.555,668.439,812.724,627.355,847.993,789.13,936.298,0,0,706.785,789.125,850.938,921.557,0,0,742.123,338.761,768.518,338.728,668.492,330.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
718.484,335.883,653.82,388.862,530.274,418.421,544.93,718.522,712.663,827.355,783.267,347.755,812.596,568.428,806.715,712.65,686.15,789.107,600.801,809.707,0,0,0,0,765.555,768.58,0,0,0,0,686.18,294.86,742.102,291.687,600.811,268.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
1095.44,365.555,886.478,409.564,703.944,383.104,645.049,765.703,1042.44,824.584,1092.51,436.191,1133.69,648.021,1239.64,680.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.9,312.463,1139.54,318.528,930.474,241.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
812.768,274.309,777.566,365.575,530.305,344.826,312.488,639.178,509.688,721.57,1021.75,388.918,1089.49,600.868,1116.08,659.793,730.412,957.07,595.047,936.47,0,0,0,0,0,0,0,0,0,0,762.903,215.331,880.416,235.903,698.06,177.175,942.376,244.813,0,0,0,0,0,0,0,0,0,0,0,0,writing
1115.94,244.819,927.654,347.804,739.268,341.881,544.974,686.255,806.97,762.874,1113.05,350.763,1180.75,580.278,1330.94,642.101,904.103,945.295,783.418,965.887,0,0,0,0,1048.31,927.642,0,0,0,0,1071.76,182.972,1151.33,200.69,945.246,147.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
0,0,1504.49,530.257,0,0,0,0,0,0,0,0,0,0,0,0,1495.59,618.543,1492.82,618.536,1489.75,671.646,1475.12,721.688,1495.71,618.566,1495.61,671.63,1489.78,724.508,0,0,0,0,0,0,0,0,1498.65,733.32,0,0,0,0,1480.94,727.465,1475.07,730.448,1475.05,724.553,writing
1095.41,368.352,889.411,406.68,706.877,380.219,645.106,765.707,1045.32,821.634,1092.54,436.11,1130.71,653.859,1242.59,680.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.91,312.43,1139.6,318.515,930.459,241.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
1116.12,247.6,927.675,356.62,739.237,344.864,547.954,683.289,821.665,733.338,1116.01,359.534,1183.63,586.175,1330.93,642.152,909.977,933.527,759.87,951.185,0,0,0,0,1051.24,924.69,0,0,0,0,1071.94,183.001,1160.1,200.761,951.023,150.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
1095.34,368.484,886.462,409.586,701.017,383.126,639.167,765.68,1039.42,833.316,1092.49,436.208,1133.67,648.018,1239.65,677.521,795.185,1024.76,674.491,1012.97,0,0,0,0,0,0,0,0,0,0,1062.98,315.314,1139.47,321.383,927.679,244.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
709.622,250.641,727.33,312.413,577.36,297.732,574.292,565.502,580.221,742.141,880.422,318.38,906.747,609.655,768.598,742.107,739.042,780.312,639.027,774.46,0,0,0,0,836.272,783.266,0,0,0,0,671.339,200.686,745.085,203.588,624.33,177.111,809.78,177.16,0,0,0,0,0,0,0,0,0,0,0,0,writing
765.68,359.422,812.762,294.75,633.196,235.892,615.471,527.231,621.379,789.182,1003.99,356.61,983.332,647.972,800.934,809.657,765.664,724.412,674.386,689.11,0,0,0,0,859.756,750.915,0,0,0,0,739.218,318.431,809.643,335.891,694.97,271.239,903.914,265.334,0,0,0,0,0,0,0,0,0,0,0,0,writing
698.038,247.71,721.44,303.616,577.193,291.856,565.484,568.401,591.917,745.022,877.455,318.256,903.872,606.693,765.74,739.085,718.624,765.62,624.306,756.809,0,0,0,0,824.502,777.376,0,0,0,0,665.528,200.501,742.117,203.53,624.304,177.026,803.857,177.034,0,0,0,0,0,0,0,0,0,0,0,0,writing
1068.92,256.616,889.417,362.525,695.058,374.312,524.388,759.87,774.562,883.566,1092.5,338.953,1163.16,574.508,1330.78,642.112,930.555,971.764,818.705,995.333,0,0,0,0,1089.49,918.792,0,0,0,0,1018.87,197.775,1107.21,200.731,883.61,168.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
765.591,362.392,674.49,456.504,621.522,480.264,668.535,739.087,853.835,762.536,739.004,424.3,759.782,583.17,809.682,671.548,668.421,815.637,630.277,848.001,768.591,956.863,0,0,700.902,792.091,836.268,945.09,0,0,742.241,335.963,768.62,335.971,668.491,327.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
706.752,247.791,730.257,312.353,580.204,294.807,574.246,565.468,586.124,745.076,880.377,321.24,904.022,609.695,768.602,742.037,733.223,771.505,630.256,765.596,0,0,0,0,836.176,783.224,0,0,0,0,671.36,200.692,745.067,206.468,627.337,180.009,812.608,182.962,0,0,0,0,0,0,0,0,0,0,0,0,writing
736.334,383.1,1021.81,409.594,836.383,341.968,0,0,0,0,1277.9,439.065,1336.73,821.679,1118.96,912.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718.667,318.429,786.307,344.842,0,0,960.032,300.729,0,0,0,0,0,0,0,0,0,0,0,0,writing
650.924,159.486,530.307,388.911,362.495,344.832,315.431,824.467,695.022,856.839,697.919,427.22,742.063,659.663,765.638,780.353,512.567,1027.5,377.153,1042.22,0,0,0,0,0,0,0,0,0,0,615.516,82.7964,691.912,124.018,491.897,80.0232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
1104.17,362.629,886.383,403.723,703.944,377.216,639.177,753.972,1030.63,827.516,1095.3,436.143,1130.68,645.106,1239.62,677.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069.01,309.478,1142.37,318.378,930.719,241.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
739.223,388.982,1018.87,412.517,842.264,356.642,0,0,0,0,1280.8,442.025,1327.88,833.386,1118.92,921.685,968.798,1074.81,0,0,0,0,0,0,0,0,0,0,0,0,724.57,335.949,786.373,359.533,0,0,971.703,312.513,0,0,0,0,0,0,0,0,0,0,0,0,writing
1095.38,368.366,886.452,409.59,701.023,383.129,642.085,765.706,1036.49,830.541,1092.51,439.046,1127.8,647.966,1239.58,677.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.86,312.491,1139.42,321.33,927.736,244.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
765.634,362.477,677.376,453.701,621.429,480.246,668.546,739.026,853.872,759.738,739.218,421.292,759.74,577.337,806.868,671.431,668.544,812.661,630.29,845.031,783.24,945.133,0,0,712.6,786.255,0,0,0,0,744.979,336.011,768.548,336.002,668.544,324.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
768.599,362.314,812.793,288.813,633.195,218.252,609.65,509.625,621.452,789.257,1006.9,356.604,980.508,647.861,806.768,800.962,765.597,736.192,671.436,697.939,0,0,0,0,865.683,792.105,0,0,0,0,742.048,318.329,812.594,335.979,694.991,274.168,909.83,271.185,0,0,0,0,0,0,0,0,0,0,0,0,writing
765.551,359.537,677.373,453.673,621.471,480.214,668.477,739.074,853.892,756.744,739.2,421.265,759.77,580.21,809.628,671.523,665.536,812.796,627.271,850.904,774.449,939.23,0,0,700.892,789.221,836.22,918.62,0,0,742.237,335.903,765.759,335.933,668.476,330.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
1036.55,265.34,871.677,365.548,668.639,389.018,506.821,780.465,768.758,883.411,1080.63,335.954,1160.08,571.504,1330.76,642.044,930.599,980.604,812.802,1004.15,0,0,0,0,0,0,0,0,0,0,977.7,206.479,1071.75,203.525,845.246,174.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
653.768,156.445,530.3,386.084,362.515,341.949,312.446,821.498,700.886,859.735,697.908,424.297,742.156,659.687,765.588,783.307,515.479,1033.43,374.234,1042.22,0,0,0,0,0,0,0,0,0,0,621.29,79.9067,692.025,118.189,497.815,79.8421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
656.749,159.39,530.244,388.908,362.508,344.79,315.322,818.581,700.849,856.744,697.893,427.156,742.085,677.356,765.555,783.3,512.538,1048.1,377.151,1042.22,0,0,0,0,659.672,1033.39,0,0,0,0,621.316,79.9415,692.149,121.141,500.743,76.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
650.888,156.512,530.217,386.031,362.509,341.875,312.428,815.674,697.933,859.684,695.088,424.215,741.986,647.96,765.643,789.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.52,79.9333,691.987,121.148,494.868,79.8933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
739.184,389.003,1012.98,412.601,821.678,356.623,0,0,0,0,1280.84,453.718,1327.93,827.574,1118.97,921.742,959.982,1074.82,0,0,0,0,0,0,0,0,0,0,0,0,718.724,333.043,786.353,359.494,0,0,965.92,312.502,0,0,0,0,0,0,0,0,0,0,0,0,writing
736.295,386.036,1027.71,412.577,842.257,347.848,0,0,0,0,1277.86,447.852,1327.96,824.609,1121.86,915.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715.738,321.305,786.257,341.965,0,0,960.038,303.666,0,0,0,0,0,0,0,0,0,0,0,0,writing
721.556,327.122,656.767,385.9,536.042,412.515,547.824,715.598,718.462,815.735,783.288,344.872,812.647,565.458,806.863,712.616,694.917,786.16,612.552,806.783,0,0,0,0,774.414,765.605,0,0,0,0,691.913,291.908,750.897,282.987,609.701,268.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
1092.42,247.855,898.136,362.604,706.883,368.464,527.241,745.121,780.401,883.572,1092.53,344.826,1168.99,577.344,1330.83,642.047,907.052,971.762,0,0,0,0,0,0,0,0,0,0,0,0,1045.37,191.736,1124.81,197.765,907.093,156.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
650.872,159.413,533.107,388.918,362.496,344.803,315.362,818.574,706.755,859.785,697.953,427.211,742.136,647.913,765.687,786.16,509.593,1036.35,374.256,1045.16,0,0,0,0,0,0,0,0,0,0,612.607,80.0419,691.924,124.059,489.051,80.0497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
648.012,271.243,477.224,397.758,400.727,474.257,0,0,0,0,583.147,327.161,633.216,415.422,718.601,544.894,488.992,789.144,0,0,0,0,0,0,0,0,0,0,0,0,662.61,224.191,0,0,580.264,235.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
721.545,335.946,659.619,388.848,533.174,418.325,547.903,718.496,709.7,824.431,786.075,353.581,812.78,565.481,806.856,715.597,691.964,783.295,606.674,800.912,0,0,0,0,768.555,765.624,0,0,0,0,691.928,294.911,745.098,291.673,606.671,280.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
739.22,389.099,1018.86,412.592,836.335,353.684,0,0,0,0,1280.82,456.646,1336.72,833.455,1118.93,924.638,974.656,1074.83,0,0,0,0,0,0,0,0,0,0,0,0,721.626,335.958,786.285,359.495,0,0,971.722,312.494,0,0,0,0,0,0,0,0,0,0,0,0,writing
739.198,380.217,1051.24,415.488,839.346,341.949,0,0,0,0,1277.9,436.107,1330.85,824.605,1118.9,909.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721.608,315.553,786.37,341.909,0,0,971.825,294.878,0,0,0,0,0,0,0,0,0,0,0,0,writing
768.543,362.378,812.713,285.898,627.383,221.174,609.631,530.164,618.416,792.16,1003.99,350.668,977.549,647.901,800.938,800.936,768.539,703.825,674.395,674.413,0,0,0,0,862.736,721.455,0,0,0,0,742.013,318.451,812.584,338.808,0,0,906.881,268.27,0,0,0,0,0,0,0,0,0,0,0,0,writing
765.727,362.494,812.771,285.93,624.396,215.344,606.69,530.142,618.485,792.055,1001.05,362.376,977.472,647.901,792.195,806.738,762.642,715.572,662.647,683.206,0,0,0,0,856.824,724.435,0,0,0,0,739.148,321.363,812.599,338.868,686.204,271.173,909.808,271.217,0,0,0,0,0,0,0,0,0,0,0,0,writing
1107.16,244.751,910.009,356.621,721.563,359.579,524.327,727.517,771.604,880.425,1104.2,344.919,1174.87,577.403,1330.87,642.041,892.294,977.653,771.63,974.71,0,0,0,0,0,0,0,0,0,0,1062.94,180.151,1142.35,197.669,927.668,150.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
1021.89,268.247,865.786,365.554,662.724,391.978,503.814,789.236,765.725,883.411,1071.94,330.151,1157.14,571.462,1327.92,642.126,933.498,992.39,0,0,0,0,0,0,0,0,0,0,0,0,965.882,209.49,1065.87,203.563,833.553,180.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
650.922,277.182,462.555,385.941,341.91,444.85,0,0,0,0,591.947,321.298,641.949,412.542,721.503,539.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665.586,227.149,0,0,571.386,215.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
653.848,274.172,483.102,383.073,362.42,459.561,0,0,0,0,586.123,321.226,644.886,415.447,721.496,539.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677.39,218.238,0,0,597.9,206.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
645.025,280.074,494.863,386.014,424.249,433.039,0,0,0,0,594.892,335.937,639.027,415.49,718.668,541.986,521.371,739.141,512.543,759.708,0,0,0,0,562.543,706.76,0,0,0,0,653.787,227.172,0,0,571.364,238.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
739.33,383.179,1033.59,409.56,839.298,339.034,0,0,0,0,1280.85,441.995,1333.8,824.575,1118.95,909.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721.625,318.333,786.459,341.832,0,0,974.573,294.829,0,0,0,0,0,0,0,0,0,0,0,0,writing
809.961,285.914,768.792,368.432,530.248,344.925,315.404,636.216,506.674,721.668,1021.82,391.949,1083.59,600.92,1115.98,659.793,727.468,951.134,595.005,927.619,0,0,0,0,0,0,0,0,0,0,762.896,221.148,877.5,241.814,695.133,183.006,936.48,247.753,0,0,0,0,0,0,0,0,0,0,0,0,writing
650.896,277.114,497.809,383.011,415.473,456.57,0,0,0,0,583.184,315.409,641.933,412.501,718.665,541.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597.819,244.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
739.321,386.001,1024.79,409.592,833.466,341.973,0,0,0,0,1280.86,439.059,1333.82,824.638,1121.94,912.93,977.612,1074.83,0,0,0,0,0,0,0,0,0,0,0,0,718.676,318.519,786.351,344.886,0,0,971.713,297.742,0,0,0,0,0,0,0,0,0,0,0,0,writing
650.911,159.433,530.192,388.922,359.529,344.875,312.449,821.508,695.04,856.904,695.064,424.215,745.023,653.762,765.723,777.381,515.506,1024.61,383.051,1039.3,0,0,0,0,0,0,0,0,0,0,612.54,80.0526,688.991,121.16,488.961,79.8785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
809.983,285.991,771.654,368.436,530.252,347.852,315.389,639.141,506.677,721.622,1021.79,391.938,1080.71,600.951,1116.04,665.67,730.446,954.092,595.037,930.589,0,0,0,0,0,0,0,0,0,0,762.868,221.167,877.563,241.878,695.163,174.205,939.373,250.673,0,0,0,0,0,0,0,0,0,0,0,0,writing
765.662,362.31,680.249,450.724,621.444,477.214,668.614,736.176,853.903,759.772,741.955,418.419,762.531,580.184,809.74,671.395,668.479,812.794,627.339,850.93,786.165,948.05,0,0,709.724,789.18,853.903,909.839,0,0,745.032,335.863,768.615,335.911,671.316,321.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
812.741,280.152,771.626,365.53,527.386,347.796,312.472,630.385,506.67,718.74,1021.71,389.029,1083.65,597.968,1115.98,659.773,727.5,933.519,597.965,918.788,0,0,0,0,0,0,0,0,0,0,765.657,218.243,877.576,238.947,698.051,179.996,942.369,244.867,0,0,0,0,0,0,0,0,0,0,0,0,writing
703.774,247.717,721.491,306.52,577.193,294.673,568.451,568.424,583.181,742.19,880.284,318.248,903.852,606.679,765.721,739.121,718.615,765.581,624.308,756.754,0,0,0,0,827.41,774.434,0,0,0,0,668.365,200.634,742.099,203.559,624.235,177.142,806.71,179.992,0,0,0,0,0,0,0,0,0,0,0,0,writing
721.543,335.863,659.679,386.082,536.039,418.402,550.676,718.483,715.639,818.589,786.126,347.751,815.589,562.585,809.596,715.505,692.134,786.223,609.635,806.786,0,0,0,0,774.481,768.535,0,0,0,0,691.947,294.79,747.952,288.796,612.54,271.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
809.928,285.981,774.552,371.334,530.275,350.708,315.396,639.192,506.687,721.646,1021.71,389.106,1083.58,598.057,1115.95,659.75,721.614,954.111,597.965,933.529,0,0,0,0,0,0,0,0,0,0,762.902,218.259,877.537,241.842,698.073,185.918,936.505,247.78,0,0,0,0,0,0,0,0,0,0,0,0,writing
653.844,159.411,530.297,386.097,362.525,344.801,312.376,815.668,697.97,859.781,695.102,424.27,742.075,653.764,765.541,783.287,509.612,1027.51,368.383,1042.2,0,0,0,0,0,0,0,0,0,0,621.316,80.0596,691.995,124.08,497.848,79.9169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
